Customer_ID,Name,Gender,Address,Nationality,Account_Type,Age,Education,Employment,Salary,Employer_Stability,Customer_Loyalty,Balance,Residential_Status,Service_Level
0,Tony Jimenez,Female,0155 Salas Shore,239,Current Account,36 - 59,Tertiary and above,Contract,886,Unstable,4,2789,Rented,0.0
1,Jessica Bell,Male,24078 Davis Prairie Suite 981,239,Savings Account,60 +,Highschool and below,Student,4627,Stable,7,2333,Rented,0.0
2,Cheryl Davis,Male,51713 Allen Radial,239,Current Account,60 +,Tertiary and above,Student,24001,Unstable,2,2789,Rented,0.0
3,Leslie Sims,Male,4185 Jackson Divide Apt. 654,239,Current Account,36 - 59,Tertiary and above,Contract,24001,Unstable,3,179487,Rented,0.0
4,Jason Schmidt,Female,0225 Flores Prairie,99,Savings Account,18 - 35,Tertiary and above,Contract,886,Stable,5,2789,Rented,0.0
5,Laura Reynolds,Female,235 Nicholas Falls,28,Current Account,60 +,Tertiary and above,Student,24001,Stable,10,2333,Rented,1.0
6,Martin Miranda,Female,04050 Smith Gardens,239,Savings Account,18 - 35,Tertiary and above,Permanent,24001,Unstable,3,179487,Rented,1.0
7,Krystal Wagner,Female,410 Blankenship Highway Apt. 658,239,Savings Account,18 - 35,Highschool and below,Permanent,24001,Unstable,4,2333,Rented,0.0
8,Cathy Blankenship,Female,174 Norman Trail,222,Current Account,60 +,Tertiary and above,Permanent,24001,Stable,6,179487,Owned,1.0
9,Curtis Gilbert,Female,1800 Luna Lodge Suite 298,239,Savings Account,18 - 35,Highschool and below,Student,886,Stable,0,2789,Owned,0.0
10,Christine Williams,Male,89573 Pamela Mews Apt. 179,239,Savings Account,18 - 35,Highschool and below,Student,24001,Unstable,7,2333,Rented,0.0
11,Mark Osborne,Female,24589 Black Mountains Suite 916,239,Current Account,36 - 59,Highschool and below,Permanent,4627,Unstable,0,179487,Rented,0.0
12,Melanie James,Male,3419 Julie Lane Apt. 337,239,Savings Account,60 +,Tertiary and above,Contract,886,Stable,4,2333,Owned,0.0
13,John Key,Male,1422 Johnson Divide,44,Savings Account,36 - 59,Highschool and below,Student,4627,Unstable,6,2333,Owned,0.0
14,Jerome Allen,Female,687 Michele Hollow Suite 827,222,Current Account,36 - 59,Highschool and below,Student,4627,Stable,5,2333,Owned,0.0
15,Michael Carroll,Male,194 Jennifer Run,239,Current Account,60 +,Highschool and below,Permanent,24001,Stable,1,179487,Owned,0.0
16,Eric Garcia MD,Male,6127 Garcia Squares,239,Savings Account,36 - 59,Tertiary and above,Permanent,886,Stable,7,179487,Rented,1.0
17,John Bridges,Male,35124 Whitney Run Suite 655,239,Savings Account,36 - 59,Highschool and below,Student,886,Stable,6,2333,Rented,0.0
18,Christine Berger,Male,745 Claudia River Apt. 088,239,Savings Account,60 +,Tertiary and above,Permanent,24001,Stable,10,2789,Rented,2.0
19,Valerie Gomez,Female,91901 Matthew Mission Apt. 982,44,Savings Account,36 - 59,Highschool and below,Student,4627,Stable,1,2789,Rented,0.0
20,Larry Mann,Female,84975 Thomas Crescent Suite 579,239,Savings Account,60 +,Tertiary and above,Contract,886,Stable,8,179487,Owned,1.0
21,Troy Mcintosh,Male,45330 Karen Coves,193,Current Account,36 - 59,Highschool and below,Student,24001,Unstable,9,2333,Rented,1.0
22,Dana Gibbs,Male,059 David Forks,239,Current Account,18 - 35,Tertiary and above,Student,886,Unstable,1,2333,Owned,0.0
23,Jonathan Schmidt,Male,1178 Morgan Circle Suite 055,28,Current Account,36 - 59,Tertiary and above,Contract,886,Unstable,10,179487,Owned,2.0
24,Dennis Gonzalez DDS,Female,54200 Billy Key,156,Savings Account,36 - 59,Highschool and below,Contract,4627,Unstable,3,2333,Rented,0.0
25,Richard Becker,Male,6062 Mason Unions,239,Current Account,60 +,Tertiary and above,Permanent,4627,Unstable,10,2789,Owned,2.0
26,Daniel Jenkins,Male,35422 Robert Squares Apt. 782,239,Current Account,18 - 35,Highschool and below,Permanent,24001,Stable,0,2789,Rented,0.0
27,Lee Bates,Male,7111 Harold Forges,239,Current Account,36 - 59,Tertiary and above,Contract,24001,Unstable,8,179487,Rented,1.0
28,Alexander Jackson,Female,0312 Kemp Harbor Suite 053,99,Savings Account,18 - 35,Tertiary and above,Student,24001,Unstable,3,2789,Rented,0.0
29,Sonya Gutierrez MD,Female,425 Cathy Rest Suite 369,193,Current Account,36 - 59,Tertiary and above,Student,24001,Stable,4,179487,Owned,1.0
30,Christopher Carey,Male,040 Werner Springs Suite 530,156,Current Account,18 - 35,Highschool and below,Student,24001,Unstable,1,179487,Owned,0.0
31,Amy Pearson,Female,059 Douglas Trafficway,239,Current Account,36 - 59,Highschool and below,Permanent,24001,Unstable,4,179487,Owned,1.0
32,Kaitlyn Smith,Female,9478 Green Divide,145,Savings Account,60 +,Highschool and below,Student,24001,Stable,2,179487,Rented,0.0
33,Tracy Richard,Male,92221 Thompson Run,28,Savings Account,18 - 35,Tertiary and above,Student,886,Stable,5,179487,Owned,1.0
34,Kristin Cooper,Female,23472 Johnson Trail,239,Current Account,18 - 35,Tertiary and above,Student,886,Unstable,4,2333,Owned,0.0
35,Joseph Guerrero,Female,40833 Janet Mountains,156,Savings Account,18 - 35,Tertiary and above,Contract,886,Unstable,8,2789,Owned,1.0
36,Shawn Trujillo,Female,974 Tammy Orchard,239,Current Account,36 - 59,Tertiary and above,Contract,4627,Unstable,0,2333,Owned,0.0
37,Mrs. Patricia Calhoun,Male,934 Brandon Forges Suite 341,239,Current Account,60 +,Tertiary and above,Contract,886,Unstable,4,2333,Owned,0.0
38,Gerald Moran,Male,000 Cassandra Cape,99,Savings Account,18 - 35,Tertiary and above,Contract,24001,Stable,8,2333,Rented,1.0
39,Clinton Ferguson,Male,66121 Sharp Ville,193,Savings Account,36 - 59,Tertiary and above,Contract,24001,Unstable,2,179487,Owned,0.0
40,Ashley Howard,Male,0759 Allen Square,239,Current Account,36 - 59,Highschool and below,Contract,4627,Unstable,3,179487,Owned,0.0
41,Alexander Hoffman,Male,779 Miles Villages,239,Current Account,36 - 59,Highschool and below,Student,4627,Stable,8,2333,Owned,1.0
42,Sean Norman,Male,7519 Christian Underpass Apt. 615,145,Savings Account,18 - 35,Highschool and below,Contract,4627,Stable,0,2789,Rented,0.0
43,James Jones,Female,0902 Hanson Fords Suite 016,239,Current Account,18 - 35,Tertiary and above,Student,886,Unstable,5,179487,Owned,0.0
44,Julie Salazar,Male,5664 Rosario Flats Suite 097,99,Savings Account,60 +,Highschool and below,Permanent,24001,Stable,10,2333,Owned,2.0
45,Fernando Malone,Male,04530 Wheeler Court Suite 206,28,Savings Account,36 - 59,Highschool and below,Permanent,886,Stable,4,179487,Owned,0.0
46,Annette Hill,Male,274 Kim Cove Suite 879,239,Current Account,18 - 35,Highschool and below,Student,24001,Stable,1,179487,Rented,0.0
47,Jeremy Jones,Female,146 Bridget View Suite 320,44,Savings Account,36 - 59,Tertiary and above,Permanent,4627,Stable,1,2333,Owned,0.0
48,Bonnie Davenport,Female,86284 Hartman Circle,239,Savings Account,18 - 35,Tertiary and above,Permanent,4627,Unstable,7,2789,Rented,1.0
49,Sean Stewart,Female,6372 Hunt Roads,44,Current Account,18 - 35,Tertiary and above,Student,24001,Unstable,6,2333,Owned,1.0
50,Christopher Allison,Female,926 Lopez Ranch,239,Savings Account,60 +,Highschool and below,Contract,886,Unstable,8,2789,Rented,0.0
51,Mrs. Patricia Hubbard MD,Male,01302 Francis Harbors Suite 357,193,Savings Account,18 - 35,Highschool and below,Permanent,886,Stable,5,2789,Owned,1.0
52,Andrew Garrett,Female,080 Amanda Grove Suite 170,239,Current Account,36 - 59,Highschool and below,Permanent,24001,Stable,5,2789,Rented,1.0
53,Elijah Cross,Male,6117 Gregory Port Suite 571,44,Current Account,36 - 59,Tertiary and above,Contract,886,Stable,10,2333,Rented,1.0
54,Kathryn Salazar,Male,54867 Perez Wells,145,Savings Account,60 +,Highschool and below,Permanent,24001,Stable,10,2789,Rented,2.0
55,Bobby Kelly,Male,8025 Franklin Isle Apt. 051,222,Current Account,60 +,Tertiary and above,Permanent,24001,Unstable,0,2789,Rented,0.0
56,Steven Mcgrath,Male,677 Alexandria Rest,239,Savings Account,36 - 59,Tertiary and above,Permanent,4627,Unstable,6,2789,Owned,1.0
57,Kyle Whitney,Male,0359 Anthony Branch Apt. 527,156,Current Account,36 - 59,Tertiary and above,Contract,886,Stable,4,179487,Owned,0.0
58,Travis Ryan,Male,656 Nelson Pike Apt. 900,156,Current Account,36 - 59,Tertiary and above,Permanent,24001,Unstable,8,2333,Rented,1.0
59,Felicia Norris,Male,77849 Gomez Springs,28,Current Account,18 - 35,Highschool and below,Student,24001,Stable,6,179487,Rented,1.0
60,William Villanueva,Male,75737 Stephen Mission,239,Current Account,60 +,Highschool and below,Permanent,24001,Stable,7,179487,Rented,1.0
61,Ashley Martin,Female,7902 Morris Lake Apt. 663,28,Current Account,60 +,Tertiary and above,Contract,4627,Stable,3,179487,Rented,0.0
62,Sarah Summers,Male,9020 Morton Inlet,156,Savings Account,36 - 59,Tertiary and above,Contract,886,Unstable,8,2789,Rented,1.0
63,Michelle Leach,Male,5376 Bell Trace Suite 257,239,Savings Account,60 +,Tertiary and above,Permanent,886,Stable,2,2333,Owned,0.0
64,Victoria Banks,Female,5507 White Fields Suite 176,145,Current Account,60 +,Highschool and below,Permanent,24001,Unstable,9,2789,Owned,1.0
65,Sarah Douglas,Male,2354 Shepard Mountains,222,Current Account,60 +,Highschool and below,Student,886,Stable,7,179487,Owned,0.0
66,Lori Mitchell,Male,578 Jennifer Ridge Apt. 020,239,Current Account,36 - 59,Tertiary and above,Contract,886,Stable,5,2789,Rented,0.0
67,Dr. Nicolas Burns,Female,6060 Justin Causeway,222,Current Account,36 - 59,Highschool and below,Permanent,24001,Stable,10,179487,Owned,2.0
68,David Skinner,Female,527 Matthew Underpass Apt. 179,28,Current Account,18 - 35,Highschool and below,Contract,4627,Unstable,0,2333,Owned,0.0
69,Laura Young,Male,5539 Keith Village,239,Current Account,18 - 35,Tertiary and above,Student,886,Unstable,7,2789,Rented,0.0
70,Lisa Smith,Female,1346 Laura Knoll Suite 862,223,Savings Account,60 +,Tertiary and above,Student,24001,Unstable,7,179487,Owned,1.0
71,Kevin Berger,Female,13969 James Stream,239,Current Account,36 - 59,Highschool and below,Contract,24001,Stable,5,2789,Rented,0.0
72,Lauren Ruiz,Female,027 Michael Ford Apt. 508,239,Current Account,36 - 59,Highschool and below,Student,4627,Unstable,10,2789,Rented,1.0
73,Jennifer Curtis,Male,370 Kimberly Run Suite 414,222,Current Account,36 - 59,Tertiary and above,Contract,886,Unstable,10,2789,Owned,1.0
74,Katelyn Logan,Female,6398 Daniel Landing Suite 276,222,Savings Account,60 +,Highschool and below,Contract,24001,Stable,10,2333,Owned,1.0
