Customer_ID,Name,Gender,Address,Nationality,Account_Type,Age,Education,Employment,Salary,Employer_Stability,Customer_Loyalty,Balance,Residential_Status
0,Stacey Porter,0,923 Gould Curve,239,1,0,1,1,7623,0,0,9046,0
1,Stephen Thompson DVM,0,58907 Holmes Mountains,222,1,1,1,2,7623,0,0,476384,0
2,Matthew Burns,0,4158 Maurice Brook,239,1,2,1,2,60437,1,0,9046,0
3,Samuel Martinez,0,612 Susan Drive Suite 155,239,1,1,0,1,60437,0,0,9046,0
4,David Ryan,0,1532 Donald Junctions,239,1,1,0,1,7623,0,0,476384,0
5,Timothy Ortega,1,92856 Day Lodge Apt. 375,239,1,0,0,1,60437,0,1,2368,1
6,Jennifer Andrews,1,7579 Taylor Radial Suite 303,193,1,2,0,0,7623,0,1,476384,0
7,Amanda Clark,1,228 Joel Spring Apt. 336,239,1,2,1,0,245,0,1,9046,1
8,Julie Pratt,0,1325 Dawn Key Apt. 951,239,1,2,1,0,7623,0,0,9046,1
9,Joshua Walls,1,64195 Anderson Way Apt. 208,223,1,0,1,2,60437,1,1,9046,0
10,Eric Clark,1,05675 Davis Walk,239,1,2,0,1,7623,1,1,476384,0
11,Julie Allen,1,16306 Harrison Pike Suite 597,239,1,2,0,2,7623,1,1,9046,1
12,Anthony Malone,0,52584 Sharon Trace,222,1,0,0,0,245,1,1,476384,1
13,Elizabeth Conway,1,74099 Cummings Port,239,1,2,1,1,245,0,0,9046,1
14,Ashley Thompson,0,987 Gary Drive Apt. 917,239,1,0,0,1,7623,1,1,2368,1
15,Dr. Edward Brennan,0,1700 Lang Branch Apt. 188,156,1,0,1,2,245,1,0,9046,0
16,Denise Swanson,1,7205 Cole Tunnel Suite 554,223,1,1,1,0,60437,0,1,476384,1
17,Madison Morales,1,189 Anthony Trafficway,222,1,1,1,0,245,1,0,476384,1
18,Amber Allen,1,4834 Barnes Mountain Apt. 983,156,1,0,0,1,245,0,0,9046,1
19,Heidi Williams,0,526 Sandoval Crest Suite 441,44,1,0,1,2,60437,1,1,2368,0
20,Richard Atkinson,0,9727 Melissa Lane Suite 606,223,1,2,0,1,60437,1,1,2368,0
21,Deborah Hammond,1,890 Nicole Underpass,239,1,0,1,1,7623,0,0,2368,0
22,Jenna Smith,1,81565 Juan Estates,239,1,2,1,2,60437,1,0,9046,0
23,Alicia Osborne,1,803 Joyce Lodge,193,1,2,1,1,60437,0,1,2368,1
24,John Kim,1,81278 Williams Alley Suite 050,223,1,0,0,2,245,0,1,476384,1
25,Joseph Smith,0,1401 Vasquez Mount Suite 142,239,1,2,1,2,60437,0,0,2368,1
