Customer_ID,Name,Gender,Address,Nationality,Account_Type,Age,Education,Employment,Salary,Employer_Stability,Customer_Loyalty,Balance,Residential_Status,Service_Level
0,Ashley Payne,Male,1114 Odonnell Camp,Zimbabwean,Current,0,0,1,2,1,1,1,1,1
1,Michelle Clark,Female,23560 Ayala Spring,Zimbabwean,Current,0,0,0,2,1,1,2,1,1
2,Rodney Rich PhD,Male,883 Franco Knolls,Zimbabwean,Savings,2,1,2,2,0,0,0,0,1
3,Janet Hernandez,Male,2440 Strickland Park,Zimbabwean,Savings,0,1,1,1,0,1,0,1,0
4,Angela Tucker,Male,906 White Well Suite 767,Zimbabwean,Savings,1,1,0,2,1,1,0,1,1
5,Jeffrey Hanson,Male,93135 Gardner Wells,Zimbabwean,Current,0,1,0,1,1,1,0,0,0
6,Ashley Brooks,Male,4795 Samantha Curve,Zimbabwean,Savings,2,0,1,2,0,0,0,1,0
7,Alicia Young,Female,177 Michael Stravenue Suite 324,Zimbabwean,Savings,1,1,1,1,1,0,1,1,1
8,William Lara,Male,533 David Roads Suite 026,Zimbabwean,Current,2,1,2,1,1,1,0,0,1
9,Janice Thompson,Female,22745 Watson Causeway Suite 050,Zimbabwean,Current,1,0,1,2,1,0,1,1,1
10,Christopher Bowers,Male,6348 Petersen Pines Apt. 141,Zimbabwean,Savings,0,1,2,1,0,0,2,1,1
11,Elizabeth Houston,Female,03276 Daniel Port Apt. 044,Zimbabwean,Current,2,0,2,1,0,1,2,1,2
12,Mary Bryant,Male,503 Gould Valley,Zimbabwean,Savings,0,0,1,0,1,0,2,0,0
13,Keith Harris,Female,81976 Osborn Greens Suite 630,Zimbabwean,Savings,2,1,0,1,1,0,2,1,1
14,Jeffrey Good,Male,46932 Turner Estate,Zimbabwean,Current,2,0,2,0,1,1,1,1,1
15,Kristy Brown,Female,052 Carroll Ramp Apt. 262,Zimbabwean,Savings,2,0,2,1,1,0,1,1,1
16,Jeffrey Johnson,Female,773 Ray Groves,Zimbabwean,Current,2,1,2,1,0,0,1,0,1
17,Charles Garrett,Female,6808 Barron Course Apt. 877,Zimbabwean,Current,2,0,2,0,1,0,1,1,1
18,Emily Holmes,Female,02375 Castaneda Gardens Apt. 811,Zimbabwean,Current,0,0,2,2,1,0,1,0,0
19,Michael Rich,Male,3120 Jackson Gardens Suite 546,Zimbabwean,Current,0,1,0,2,0,1,1,0,0
20,Alan Burns,Male,07744 Sharp Junction,Zimbabwean,Current,0,0,0,2,0,1,0,0,0
21,Daniel Butler,Male,856 Peter Road Apt. 542,Zimbabwean,Savings,2,1,0,0,1,0,2,1,1
22,Shannon Rose,Male,2550 Ashley Estate,Zimbabwean,Savings,2,1,2,1,1,0,1,0,1
23,Kevin Brown,Male,139 Romero Pike Suite 954,Zimbabwean,Current,2,0,0,1,1,0,2,1,1
24,Katrina Cline,Male,407 Walton Walk,Zimbabwean,Current,1,0,0,2,0,1,2,1,1
25,Anne Alexander,Male,3704 Tammy Pike,Zimbabwean,Savings,1,0,1,2,1,0,1,1,1
26,Benjamin Sullivan,Male,8186 Sheila Wall,Zimbabwean,Current,2,0,2,1,0,1,0,0,0
27,Laura Perry,Female,8761 Matthew Ports,Zimbabwean,Savings,0,0,2,0,1,1,1,1,0
28,James Long,Female,574 Arthur Canyon Apt. 422,Zimbabwean,Current,2,0,2,1,0,1,1,1,1
29,Jody Lee PhD,Male,83404 Johnston Well,Zimbabwean,Current,2,0,0,1,1,0,1,0,0
30,Mary Spencer,Female,9446 Reeves Harbor Suite 342,Zimbabwean,Savings,1,0,1,1,1,1,0,1,0
31,Steven Murray,Male,4565 Matthew Highway Apt. 643,Zimbabwean,Current,2,0,1,1,1,1,2,1,2
32,Matthew Rodriguez,Male,43854 Raymond Locks Suite 956,Zimbabwean,Savings,2,1,0,2,0,0,2,0,1
33,Deanna Rogers,Male,13959 Craig Drives Suite 917,Zimbabwean,Savings,2,0,0,1,1,1,0,0,0
34,Emily Williams DDS,Male,703 Thomas Crest,Zimbabwean,Savings,0,0,1,1,0,0,0,1,0
35,Matthew Gillespie,Female,75573 Joshua Motorway,Zimbabwean,Savings,2,0,0,0,0,0,0,1,0
36,Cristina Daniel,Female,521 Kimberly Trail,Zimbabwean,Savings,0,1,1,0,1,1,2,0,0
37,Scott Glover,Male,0302 Smith Common,Zimbabwean,Savings,0,0,2,2,1,1,2,0,1
38,Andrea Arellano,Female,9866 Leah Crest,Zimbabwean,Current,0,1,2,0,1,0,0,0,0
39,William Mccall,Male,05350 Soto Road,Zimbabwean,Savings,0,1,2,2,1,0,2,1,2
40,Rebecca Berg,Female,66655 Bradley Trail,Zimbabwean,Current,1,0,1,1,0,1,2,0,0
41,Julia Novak,Male,10990 Joe Lake,Zimbabwean,Current,2,0,0,0,0,1,1,0,0
42,Brandy Khan,Male,50974 Braun Fords Apt. 554,Zimbabwean,Savings,0,0,2,2,0,1,1,1,1
43,Misty Stewart,Male,10294 Santos Underpass,Zimbabwean,Current,2,0,1,0,1,1,2,0,1
44,Catherine Hayes,Male,629 Hicks Glen,Zimbabwean,Savings,2,1,0,0,0,1,1,1,0
45,Katherine Jackson,Female,159 Anna Dale Suite 572,Zimbabwean,Current,2,0,2,2,0,0,0,1,1
46,Janice Mcgee,Male,1552 Leonard Fords,Zimbabwean,Savings,2,1,1,1,1,1,2,0,2
